,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
45,Zedd,Clarity,6Rb8fTrmmivroJEy4avjRm,1,0.509,0.781,8,-3.48,1,0.0721,0.0391,0.0,0.0749,0.176,128.002,271427,4
46,Ado,新時代 - ウタ from ONE PIECE FILM RED,2l2yRJWgMiJkfPbRNiuC25,74,0.494,0.986,7,-2.262,1,0.243,0.0505,4.41e-06,0.334,0.421,175.003,228214,4
47,Years & Years,Sweet Talker - Navos Remix,1YNA4lYtqfr76Qfilpmqgb,1,0.744,0.764,5,-5.535,0,0.0331,0.0112,8.22e-05,0.408,0.549,124.977,159913,4
48,LE SSERAFIM,FEARLESS,296nXCOv97WJNRWzIBQnoj,84,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,168437,4
49,Years & Years,Starstruck,6cOr55DUIJEK23glBJb1aU,0,0.555,0.879,9,-2.484,0,0.0983,0.011,0.0,0.298,0.691,113.852,207755,4
50,Yuuri,シャッター,19mjCzLuMHZ0Tyn3eI85bo,71,0.606,0.579,5,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,248947,4
51,Years & Years,King,5SDcmsNECjlcP62MElEVrl,3,0.559,0.837,4,-4.062,0,0.0391,0.0617,0.0,0.393,0.446,119.958,214835,4
52,Yuuri,ドライフラワー,4kPlQKwtPrnqLgrmmKFSlA,71,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,286360,4
53,Years & Years,Starstruck - Kylie Minogue Remix,1UQZtQbYLMW6GBfiorfrh4,4,0.613,0.867,9,-2.089,0,0.0817,0.0364,0.0,0.318,0.66,113.971,206068,4
54,Kyanai,バニラ,0zfNtgPJ5FLkbveRjSdCMb,70,0.641,0.698,10,-3.934,1,0.0307,0.028,0.0,0.13,0.521,113.041,251051,4
55,THE YELLOW MONKEY,Tactics - 2022 Remaster,1OElWQeA3g4t2g8AGwUhm7,33,0.526,0.959,4,-3.613,0,0.0643,0.00773,0.0,0.325,0.696,117.105,268600,4
56,BTS,Butter,6jjYDGxVJsWS0a5wlVF5vS,82,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,164952,4
57,MEDUZA,Lose Control,59yeBiuPekqUhkuOj96Wc8,0,0.597,0.527,10,-8.658,0,0.0412,0.127,0.0,0.14,0.535,123.946,168387,4
58,Novelbright,愛とか恋とか,1VHL1PIkhDwWbFc65xHwOr,70,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,232453,4
59,MEDUZA,Piece Of Your Heart,1D5bgpjwcxnxnECQEn7m1z,0,0.677,0.744,10,-6.806,0,0.0296,0.0405,0.000153,0.074,0.631,124.077,152913,4
60,Mrs. GREEN APPLE,ダンスホール,4NaaF28BeO9WzjDrSS71Nz,70,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4
61,Tears For Fears,Everybody Wants To Rule The World,5V6x4Dbs70n0YUSfbLQYJE,0,0.641,0.931,7,-5.779,1,0.0701,0.304,0.00176,0.126,0.508,111.989,253400,4
62,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,94,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
63,THE YELLOW MONKEY,SPARK - 2022 Remaster,29UbKVbyfIoZYOpKTvwMzd,32,0.3,0.942,6,-1.956,0,0.102,0.000698,0.00922,0.111,0.255,165.376,252867,4
64,Fujii Kaze,きらり,51oc6MEsXTpnPn6GOw5VuP,70,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,231883,4
65,Mary J. Blige,Family Affair,2HNvVE43C2cgqFht62Vqph,0,0.926,0.56,8,-2.238,0,0.048,0.18,5.39e-05,0.0804,0.974,92.916,267960,4
66,Uru,それを愛と呼ぶなら,3ibqi5ANZtNI7QXOgUnFsL,69,0.493,0.527,10,-5.126,1,0.0342,0.729,0.0,0.0989,0.452,169.974,294667,4
67,THE YELLOW MONKEY,バラ色の日々 - 2022 Remaster,7KT5VsPiSpiTISnkROLvvK,31,0.518,0.963,0,-3.516,1,0.0654,0.113,0.0,0.221,0.662,113.893,287960,4
68,NAYEON,POP!,5rJ7bdPmr8nfmm2JQ8xHOz,68,0.793,0.859,2,-2.998,1,0.0544,0.0356,0.0,0.0343,0.392,97.001,168107,4
69,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2AklTah8huTcBtPGU3Tu5L,0,0.671,0.806,7,-5.198,0,0.0889,0.0305,1.2e-05,0.298,0.646,104.39,202440,4
70,ZOT on the WAVE,Crayon,3ZEdrRIGjFpXZSzfjwWmDQ,68,0.791,0.859,8,-4.524,1,0.0448,0.157,3.71e-06,0.446,0.946,140.017,176681,4
71,ACRAZE,Do It To It,2dPeFO5SPM4WewrtyxxuwL,0,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,4
72,Lilas Ikuta,スパークル,6EuubEs5qOmJdpNhkU47OZ,69,0.614,0.579,11,-4.937,1,0.038,0.417,0.0,0.0666,0.692,149.831,213600,4
73,THE YELLOW MONKEY,悲しきASIAN BOY - 2022 Remaster,4KyqlFgKJmn7mjPD4i7sTu,29,0.535,0.974,9,-2.84,1,0.118,0.0253,0.0,0.427,0.512,114.994,274480,4
74,Spice Girls,Wannabe,36mtwkNhdENT8UDqOIZAb7,0,0.768,0.864,11,-6.149,1,0.0324,0.101,0.0,0.162,0.891,110.009,173027,4
