Unnamed: 0,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
68,NAYEON,POP!,5rJ7bdPmr8nfmm2JQ8xHOz,68,0.793,0.859,2,-2.998,1,0.0544,0.0356,0.0,0.0343,0.392,97.001,168107,4
70,ZOT on the WAVE,Crayon,3ZEdrRIGjFpXZSzfjwWmDQ,68,0.791,0.859,8,-4.524,1,0.0448,0.157,3.71e-06,0.446,0.946,140.017,176681,4
729,fromis_9,DM,7B9W7Qsy5M2kyUNjQYIEG8,68,0.649,0.898,11,-3.291,0,0.11,0.0213,0.0,0.0576,0.663,122.028,204293,4
488,IVE,ROYAL,0LMdtBOxbVgrYoA4n0Vwvv,68,0.796,0.85,1,-2.987,1,0.102,0.0905,3.39e-06,0.205,0.47,109.922,206227,4
151,YOASOBI,ミスター,2YbNZLoiREBYZo4HeKB8Np,67,0.732,0.933,1,-3.51,0,0.0548,0.0674,3.67e-05,0.202,0.611,119.971,187000,4
132,Ado,踊,0871AdnvzzSGr5XdTJaDHC,67,0.709,0.962,1,-0.753,1,0.106,0.153,1.77e-06,0.621,0.767,128.013,210347,4
89,milet,Walkin' In My Lane,3l2O4IuJ4DFEfUwDdWyPnf,67,0.604,0.851,7,-4.38,1,0.0918,0.00792,0.000282,0.108,0.342,190.107,240053,4
826,JO YURI,Love Shhh!,00vy9aiFjxMfnKniQAYzrC,67,0.724,0.921,9,-1.489,1,0.0786,0.0709,0.0,0.121,0.748,118.008,199067,4
81,BUMP OF CHICKEN,クロノスタシス,6Pd73yNBtoVpTRM6xLwOGp,67,0.699,0.738,0,-7.487,1,0.0259,0.0963,5.42e-05,0.163,0.671,120.001,339870,4
83,Creepy Nuts,ばかまじめ,55emtNBnUXszixuQj4Fg6I,67,0.61,0.938,10,-3.592,0,0.0525,0.194,0.0,0.518,0.802,90.949,172367,4
75,Yuuri,レオ,3eg3igrhEhzk8bqqRz6XCt,67,0.629,0.543,5,-6.281,1,0.0252,0.383,0.0,0.127,0.403,93.043,238973,4
105,Lilas Ikuta,レンズ,7ylpphbW8jf5bh7NKJnO8s,66,0.539,0.435,2,-5.455,1,0.0428,0.387,0.0,0.182,0.334,163.986,238537,4
85,WEDNESDAY CAMPANELLA,エジソン,2wRKOmpe6I7q6k69bkjuFU,66,0.838,0.729,1,-5.733,0,0.0802,0.0195,0.0089,0.101,0.619,129.999,193511,4
93,有華,Partner,48lsRmp9AC6tU4rP9QJx4H,66,0.789,0.63,9,-5.049,1,0.037,0.108,1.56e-06,0.132,0.836,95.009,174013,4
121,Ado,私は最強 - ウタ from ONE PIECE FILM RED,7bmAgiUc4W4bfyZRCc6lOh,66,0.574,0.858,4,-2.911,1,0.0469,0.205,0.0,0.344,0.658,95.954,257915,4
598,Stray Kids,Your Eyes,25nbyqD4oqWU0RaXuAc74t,66,0.782,0.533,2,-6.178,1,0.0417,0.169,0.0,0.228,0.585,129.82,196387,4
